tt,pagetotallikes,type,category,postmonth,postweekday,posthour,paid,lifetimeposttotalreach,lifetimeposttotalimpressions,lifetimeengagedusers,lifetimepostconsumers,lifetimepostconsumptions,lifetimepostimpressionsbypeoplewhohavelikedyourpage,lifetimepostreachbypeoplewholikeyourpage,lifetimepeoplewhohavelikedyourpageandengagedwithyourpost,comment,like,share,totalinteractions
1,139441,2,2,12,4,3,0,2752,5091,178,109,159,3078,1640,119,4,79,17,100
2,139441,3,2,12,3,10,0,10460,19057,1457,1361,1674,11710,6112,1108,5,130,29,164
3,139441,2,3,12,3,3,0,2413,4373,177,113,154,2812,1503,132,0,66,14,80
4,139441,2,2,12,2,10,1,50128,87991,2211,790,1119,61027,32048,1386,58,1572,147,1777
5,139441,2,2,12,2,3,0,7244,13594,671,410,580,6228,3200,396,19,325,49,393
6,139441,3,2,12,1,9,0,10472,20849,1191,1073,1389,16034,7852,1016,1,152,33,186
7,139441,2,3,12,1,3,1,11692,19479,481,265,364,15432,9328,379,3,249,27,279
8,139441,2,3,12,7,9,1,13720,24137,537,232,305,19728,11056,422,0,325,14,339
9,139441,3,2,12,7,3,0,11844,22538,1530,1407,1692,15220,7912,1250,0,161,31,192
10,139441,2,3,12,6,10,0,4694,8668,280,183,250,4309,2324,199,3,113,26,142
11,139441,3,2,12,5,10,0,21744,42334,4258,4100,4540,37849,18952,3798,0,233,19,252
12,139441,2,2,12,5,10,0,3112,5590,208,127,145,3887,2174,165,0,88,18,106
13,139441,2,2,12,5,10,0,2847,5133,193,115,133,3779,2072,152,0,90,14,104
14,139441,2,2,12,5,3,0,2549,4896,249,134,168,3631,1917,183,5,137,10,152
115,138414,2,2,12,4,5,1,22784,39941,887,337,417,34415,19312,684,2,577,20,599
16,138414,3,2,12,3,10,0,10060,19680,1264,1209,1425,17272,8548,1162,4,86,18,108
17,138414,2,3,12,3,3,0,1722,2981,163,123,148,1868,1050,123,2,40,12,54
18,138414,2,1,12,2,12,1,53264,111785,1706,1103,1655,92512,39776,1307,15,678,20,713
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,102112,2,1,3,1,18,0,3358,5900,541,507,4550,4650,2800,344,8,109,3,120
,102112,2,1,3,1,18,0,6400,11941,735,726,8415,10987,5916,628,0,32,6,38
,102112,1,3,3,1,3,0,6876,10885,282,245,337,9403,5752,259,2,68,15,85
,100732,2,1,3,7,18,0,391,746,131,130,766,723,380,93,0,6,1,7
,100732,2,1,3,7,17,0,10844,22468,1409,1339,11064,18310,8848,1086,4,213,13,230
,100732,2,1,3,7,15,0,5132,9067,398,398,1690,9065,5132,393,0,2,0,2
,100732,2,1,3,7,15,0,3772,6971,144,144,1033,6932,3758,140,0,3,0,3
,100732,1,1,3,7,14,0,2933,5144,24,23,26,3972,2012,19,0,6,0,6
,100732,2,1,3,7,12,0,4094,7469,206,203,1420,7451,4088,200,0,4,0,4
,100732,2,1,3,6,17,0,452,726,186,184,889,721,450,114,0,4,1,5
,100732,2,1,3,6,17,0,11420,23855,1411,1342,8049,16634,8032,865,12,211,14,237
,100732,2,1,3,6,15,0,5704,10510,452,450,2895,9348,5388,361,1,15,1,17
,100732,2,1,3,6,15,0,7192,12811,587,554,3941,11519,6616,472,11,95,4,110
,100732,2,1,3,6,13,1,9604,16557,1061,1037,9614,13618,7984,705,16,127,0,143
,100732,2,1,3,6,10,0,122944,457509,1373,1268,2106,72846,13184,475,0,136,13,149
,98195,1,2,3,6,6,0,5730,10083,103,71,97,8964,4830,92,2,32,15,49
,98195,2,1,3,6,3,0,4898,7960,560,528,719,6380,3730,363,1,76,9,86
,98195,2,1,3,5,10,0,4118,7355,546,526,675,6423,3466,379,1,28,7,36
,98195,2,1,3,5,4,1,1845,2670,9,9,9,1614,1008,9,0,0,0,0
,98195,2,3,3,4,13,0,34480,191207,1591,1156,1926,184270,30720,1292,10,664,97,771
,96749,2,3,3,2,9,0,5338,9940,589,556,715,8146,3920,363,1,62,10,73
,96749,2,2,3,2,5,0,5312,9411,603,582,795,7034,3588,345,0,48,20,68
,96749,2,1,3,1,13,1,4412,8070,711,678,926,6937,3478,346,1,55,7,63
,96749,2,1,3,1,2,1,98816,125026,11452,11328,18115,16682,10336,1356,10,197,21,228
,96749,2,1,3,7,10,1,7220,12735,2348,2300,3311,9837,5296,642,6,88,24,118
,96749,2,1,3,7,5,1,14320,21958,1850,1819,2170,9579,4664,413,2,59,6,67
,93684,2,1,2,6,13,1,27056,162816,2299,2127,2737,160270,25424,1146,6,234,26,266
,93577,2,1,2,6,6,0,20528,33000,1876,1800,2654,14636,7632,656,3,148,21,172
,93470,2,1,2,5,12,0,6416,11459,1362,1313,1652,9122,4716,497,0,96,29,125
,93363,2,1,2,5,6,0,5786,10634,1237,1218,1526,9103,4764,483,4,49,15,68
,93256,2,3,2,4,12,0,5878,10508,1132,1087,1380,8471,4528,446,3,98,27,128
,93149,2,3,2,4,3,0,9528,16535,1383,1288,1834,11276,6260,630,14,198,70,282
,93042,2,3,2,3,13,0,8500,14157,1095,1029,1422,9670,5640,465,5,159,53,217
,92935,2,1,2,3,9,1,3796,6737,949,940,1192,5249,2694,398,1,22,6,29
,92828,2,1,2,3,6,0,28128,42940,2283,2190,3400,9183,4560,621,6,154,18,178
,92721,2,3,2,2,13,0,7228,12627,1239,1189,1612,9781,5348,606,5,128,32,165
,92614,2,2,2,2,3,1,5290,9100,1053,994,1326,6285,3578,441,2,129,32,163
,92507,2,3,2,1,13,0,55520,665792,4544,3586,6624,648611,47488,3430,146,1546,181,1873
,92400,2,1,2,1,4,0,5880,10115,1291,1264,1878,8536,4884,706,5,79,11,95
,92293,2,3,2,7,13,1,10040,17029,1429,1346,2022,11744,6964,742,19,214,78,311
,92186,2,3,2,7,2,1,153536,497910,1713,1633,2493,8907,5696,593,8,134,34,176
,92079,2,1,2,6,13,0,158208,453213,2482,2319,3412,81938,20608,1034,9,268,36,313
,91972,2,3,2,6,3,0,6484,10832,1166,1115,1441,7316,4280,583,4,128,38,170
,91865,2,2,2,5,13,1,4840,7466,949,923,1116,5362,3370,447,3,47,21,71
,91758,2,2,2,5,3,1,15880,51571,1188,1071,1410,47976,13560,677,1,200,37,238
,91651,2,1,2,4,12,0,15288,31467,1573,1401,2110,28247,13312,1052,5,264,36,305
,91544,2,3,2,4,3,0,9528,16779,1245,1175,1725,11885,6672,729,10,193,61,264
,91437,1,1,2,3,13,0,9356,14986,448,381,505,13919,8460,392,4,114,13,131
,91330,2,3,2,3,3,0,7732,13264,1066,1002,1336,8753,4880,570,7,160,57,224
,91223,2,1,2,2,13,0,5240,8893,857,837,1020,7420,4232,466,0,46,15,61
,91116,2,3,2,2,4,1,7132,12060,1004,944,1226,8294,4736,576,4,136,42,182
,91009,2,1,2,1,12,0,21928,39641,1512,1479,1837,6338,3672,497,0,73,13,86
,86909,2,3,1,6,16,1,5754,9238,1179,1143,1452,6101,3546,420,0,65,19,84
,86909,2,1,1,6,10,1,37088,10966,2728,2288,3183,66311,34352,2021,7,579,47,633
,86909,1,1,1,6,4,0,39600,7927,572,496,581,12522,8176,167,1,101,5,107
,86909,2,3,1,5,13,0,5536,8745,1141,1099,1461,5225,3098,483,1,74,31,106
,86909,2,3,1,5,4,0,6056,10325,1117,1078,1427,6823,3788,487,7,84,36,127
,86909,2,2,1,4,11,0,11484,20696,1762,1635,2741,8774,5124,722,56,360,99,515
,86491,1,1,1,4,4,1,4938,7910,66,63,70,6625,3804,59,0,5,2,7
,86491,2,3,1,3,10,0,66784,9456,2969,2833,3645,17809,11328,801,3,187,36,226
,86491,2,2,1,3,3,0,5526,8779,1096,1058,1399,5732,3412,453,2,69,26,97
,86491,2,3,1,2,7,0,5040,8367,1062,1023,1348,5485,3068,437,2,82,24,108
,86491,1,1,1,2,2,0,5168,8371,66,59,71,7041,3996,58,0,12,2,14
,85979,2,3,1,1,12,0,5034,8030,1020,993,1243,5340,3094,440,2,56,25,83
,85979,2,3,1,1,2,0,4908,7491,957,937,1153,4642,2842,393,1,44,21,66
,85979,2,3,1,7,10,0,9700,17442,1407,1271,2007,8872,4876,660,21,277,80,378
,85979,2,3,1,7,2,0,4800,7754,975,938,1278,4932,2820,432,1,74,28,103
,85979,2,3,1,6,11,0,5280,8703,951,911,1237,5757,3300,431,1,79,30,110
,85979,2,3,1,6,3,1,6184,10228,956,901,1140,6085,3502,437,1,105,46,152
,85979,1,1,1,5,11,0,45920,5808,753,655,763,15766,10720,220,0,128,9,137
,85093,2,3,1,1,2,0,8412,13960,1179,1111,1632,8632,5348,699,17,185,55,257
,85093,2,3,1,7,10,0,5400,9218,810,756,1003,5654,3230,422,10,125,41,176
,85093,2,3,1,7,2,0,4684,7536,733,708,985,4750,2876,392,5,53,26,84
,81370,2,2,1,5,8,0,3480,6229,537,508,687,3961,2104,301,0,53,22,75
,81370,2,1,1,5,2,0,3778,7216,625,572,795,4742,2388,363,4,93,18,115
,81370,2,3,1,4,11,0,4156,7564,626,574,832,4534,2452,370,7,91,38,136
